"subject" "activity" "variable" "value"
"5" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.211138853638298
"5" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." 0.0435562021989362
"6" "LAYING" "tBodyAccMag.mean.." -0.918878850824561
"6" "SITTING" "tBodyAccMag.mean.." -0.949543531272727
"6" "STANDING" "tBodyAccMag.mean.." -0.945022876491228
"6" "WALKING" "tBodyAccMag.mean.." -0.166840713631579
"6" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.333754731458333
"6" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." 0.0177790974433333
"7" "LAYING" "tBodyAccMag.mean.." -0.936392023846154
"7" "SITTING" "tBodyAccMag.mean.." -0.918432107083333
"7" "STANDING" "tBodyAccMag.mean.." -0.942724659245283
"7" "WALKING" "tBodyAccMag.mean.." -0.0978090439438596
"7" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.0198795285851064
"7" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.198074437978431
"8" "LAYING" "tBodyAccMag.mean.." -0.935308633888889
"8" "SITTING" "tBodyAccMag.mean.." -0.952139704347826
"8" "STANDING" "tBodyAccMag.mean.." -0.953762884074074
"8" "WALKING" "tBodyAccMag.mean.." 0.0516786278104167
"8" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.176599311818421
"8" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." 0.121026629195122
"9" "LAYING" "tBodyAccMag.mean.." -0.9308684376
"9" "SITTING" "tBodyAccMag.mean.." -0.8933617176
"9" "STANDING" "tBodyAccMag.mean.." -0.945167482444444
"9" "WALKING" "tBodyAccMag.mean.." -0.0980840496143461
"9" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.145886357935714
"9" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.260727581428571
"10" "LAYING" "tBodyAccMag.mean.." -0.956781819655172
"10" "SITTING" "tBodyAccMag.mean.." -0.96075719962963
"10" "STANDING" "tBodyAccMag.mean.." -0.951988907954545
"10" "WALKING" "tBodyAccMag.mean.." -0.127400912069811
"10" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.250843769394737
"10" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.0266623294757447
"11" "LAYING" "tBodyAccMag.mean.." -0.980621180175439
"11" "SITTING" "tBodyAccMag.mean.." -0.961970763773585
"11" "STANDING" "tBodyAccMag.mean.." -0.984853836595745
"11" "WALKING" "tBodyAccMag.mean.." -0.288323472033898
"11" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.126227657258696
"11" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.132594623759259
"12" "LAYING" "tBodyAccMag.mean.." -0.9482046755
"12" "SITTING" "tBodyAccMag.mean.." -0.952176621372549
"12" "STANDING" "tBodyAccMag.mean.." -0.941459935081967
"12" "WALKING" "tBodyAccMag.mean.." -0.102204550448
"12" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.0183139429630435
"12" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.229183927115385
"13" "LAYING" "tBodyAccMag.mean.." -0.960517768225806
"13" "SITTING" "tBodyAccMag.mean.." -0.957690563673469
"13" "STANDING" "tBodyAccMag.mean.." -0.971564243157895
"13" "WALKING" "tBodyAccMag.mean.." -0.135643867842105
"13" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." -0.0294634299553191
"13" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.10115350174
"14" "LAYING" "tBodyAccMag.mean.." -0.905978250196078
"14" "SITTING" "tBodyAccMag.mean.." -0.944197943703704
"14" "STANDING" "tBodyAccMag.mean.." -0.943456847333333
"14" "WALKING" "tBodyAccMag.mean.." -0.144404671779661
"14" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.185537706866667
"14" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." 0.140108204051852
"15" "LAYING" "tBodyAccMag.mean.." -0.955340661527778
"15" "SITTING" "tBodyAccMag.mean.." -0.958669836271186
"15" "STANDING" "tBodyAccMag.mean.." -0.961207616226415
"15" "WALKING" "tBodyAccMag.mean.." -0.186514650759259
"15" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.320449387166667
"15" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.000971394711666667
"16" "LAYING" "tBodyAccMag.mean.." -0.961834634857143
"16" "SITTING" "tBodyAccMag.mean.." -0.961879680724638
"16" "STANDING" "tBodyAccMag.mean.." -0.969948825128205
"16" "WALKING" "tBodyAccMag.mean.." -0.258766694117647
"16" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.191079793587447
"16" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.233990331568627
"17" "LAYING" "tBodyAccMag.mean.." -0.953021411126761
"17" "SITTING" "tBodyAccMag.mean.." -0.97274734640625
"17" "STANDING" "tBodyAccMag.mean.." -0.977635981410256
"17" "WALKING" "tBodyAccMag.mean.." -0.151151487704918
"17" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.148951103536087
"17" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.0128062276916667
"18" "LAYING" "tBodyAccMag.mean.." -0.986456241538462
"18" "SITTING" "tBodyAccMag.mean.." -0.983674151754386
"18" "STANDING" "tBodyAccMag.mean.." -0.972607495342466
"18" "WALKING" "tBodyAccMag.mean.." -0.287908078035714
"18" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." -0.293531973636364
"18" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.279146312758621
"19" "LAYING" "tBodyAccMag.mean.." -0.96626080686747
"19" "SITTING" "tBodyAccMag.mean.." -0.962074065616438
"19" "STANDING" "tBodyAccMag.mean.." -0.960505683561644
"19" "WALKING" "tBodyAccMag.mean.." 0.0648173438653846
"19" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.644604325128205
"19" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." 0.01738119347275
"20" "LAYING" "tBodyAccMag.mean.." -0.960743126176471
"20" "SITTING" "tBodyAccMag.mean.." -0.952738043030303
"20" "STANDING" "tBodyAccMag.mean.." -0.92240685739726
"20" "WALKING" "tBodyAccMag.mean.." 0.039402280578902
"20" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.221851587933333
"20" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." 0.00872502461176471
"21" "LAYING" "tBodyAccMag.mean.." -0.952596583222222
"21" "SITTING" "tBodyAccMag.mean.." -0.974734999411765
"21" "STANDING" "tBodyAccMag.mean.." -0.958774298089888
"21" "WALKING" "tBodyAccMag.mean.." -0.123455661519231
"21" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.245771699004444
"21" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.0810453188106383
"22" "LAYING" "tBodyAccMag.mean.." -0.934993799305556
"22" "SITTING" "tBodyAccMag.mean.." -0.942167353870968
"22" "STANDING" "tBodyAccMag.mean.." -0.954807661269841
"22" "WALKING" "tBodyAccMag.mean.." 0.0722419121669565
"22" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.330999221944444
"22" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." 0.210282608333333
"23" "LAYING" "tBodyAccMag.mean.." -0.962959196805556
"23" "SITTING" "tBodyAccMag.mean.." -0.944080772941176
"23" "STANDING" "tBodyAccMag.mean.." -0.957212267058824
"23" "WALKING" "tBodyAccMag.mean.." -0.0988770198220339
"23" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.127211137694444
"23" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.0117536873784314
"24" "LAYING" "tBodyAccMag.mean.." -0.9718540425
"24" "SITTING" "tBodyAccMag.mean.." -0.968979156470588
"24" "STANDING" "tBodyAccMag.mean.." -0.950061017681159
"24" "WALKING" "tBodyAccMag.mean.." -0.299983613965517
"24" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." -0.0737699163072727
"24" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.226402822033898
"25" "LAYING" "tBodyAccMag.mean.." -0.56047777609589
"25" "SITTING" "tBodyAccMag.mean.." -0.970409337076923
"25" "STANDING" "tBodyAccMag.mean.." -0.972663592162162
"25" "WALKING" "tBodyAccMag.mean.." -0.40528943
"25" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." -0.22010859462069
"25" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.305772199076923
"26" "LAYING" "tBodyAccMag.mean.." -0.976785042368421
"26" "SITTING" "tBodyAccMag.mean.." -0.953079994102564
"26" "STANDING" "tBodyAccMag.mean.." -0.968511694324324
"26" "WALKING" "tBodyAccMag.mean.." -0.223399171830508
"26" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.114379383742
"26" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.142874499381818
"27" "LAYING" "tBodyAccMag.mean.." -0.982091652162162
"27" "SITTING" "tBodyAccMag.mean.." -0.979481668857143
"27" "STANDING" "tBodyAccMag.mean.." -0.972753287375
"27" "WALKING" "tBodyAccMag.mean.." -0.238853875263158
"27" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.108071382861364
"27" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.160589355980392
"28" "LAYING" "tBodyAccMag.mean.." -0.95811223025
"28" "SITTING" "tBodyAccMag.mean.." -0.955789708611111
"28" "STANDING" "tBodyAccMag.mean.." -0.92547165164557
"28" "WALKING" "tBodyAccMag.mean.." -0.1806660203
"28" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.104359216580435
"28" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.186240503960784
"29" "LAYING" "tBodyAccMag.mean.." -0.986493196666667
"29" "SITTING" "tBodyAccMag.mean.." -0.978017021833333
"29" "STANDING" "tBodyAccMag.mean.." -0.984745318923077
"29" "WALKING" "tBodyAccMag.mean.." -0.0955213393716981
"29" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." 0.103705165666667
"29" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." 0.00834360271428571
"30" "LAYING" "tBodyAccMag.mean.." -0.969829984285714
"30" "SITTING" "tBodyAccMag.mean.." -0.957487221451613
"30" "STANDING" "tBodyAccMag.mean.." -0.930573574915254
"30" "WALKING" "tBodyAccMag.mean.." -0.195140032969231
"30" "WALKING_DOWNSTAIRS" "tBodyAccMag.mean.." -0.0373901122469355
"30" "WALKING_UPSTAIRS" "tBodyAccMag.mean.." -0.137627857227385
"1" "LAYING" "tBodyAccMag.std.." -0.79514486386
"1" "SITTING" "tBodyAccMag.std.." -0.927078418723404
"1" "STANDING" "tBodyAccMag.std.." -0.981942928867925
"1" "WALKING" "tBodyAccMag.std.." -0.219688645631579
"1" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.0198843506265306
"1" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.324970929245283
"2" "LAYING" "tBodyAccMag.std.." -0.972873912916667
"2" "SITTING" "tBodyAccMag.std.." -0.953081444130435
"2" "STANDING" "tBodyAccMag.std.." -0.957874965
"2" "WALKING" "tBodyAccMag.std.." -0.422544169322034
"2" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.215586334889362
"2" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.205977045295833
"3" "LAYING" "tBodyAccMag.std.." -0.964218176451613
"3" "SITTING" "tBodyAccMag.std.." -0.8703017
"3" "STANDING" "tBodyAccMag.std.." -0.915143303606557
"3" "WALKING" "tBodyAccMag.std.." -0.328428936551724
"3" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." -0.0411340078469388
"3" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.333597432542373
"4" "LAYING" "tBodyAccMag.std.." -0.931292216611111
"4" "SITTING" "tBodyAccMag.std.." -0.9144078448
"4" "STANDING" "tBodyAccMag.std.." -0.890976683392857
"4" "WALKING" "tBodyAccMag.std.." -0.527679103166667
"4" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." -0.0819559041111111
"4" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.212012300480769
"5" "LAYING" "tBodyAccMag.std.." -0.958612786346154
"5" "SITTING" "tBodyAccMag.std.." -0.920939027727273
"5" "STANDING" "tBodyAccMag.std.." -0.87977380125
"5" "WALKING" "tBodyAccMag.std.." -0.377178733392857
"5" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.205422375957447
"5" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.136736383765957
"6" "LAYING" "tBodyAccMag.std.." -0.897326245964912
"6" "SITTING" "tBodyAccMag.std.." -0.931572655636364
"6" "STANDING" "tBodyAccMag.std.." -0.939310249649123
"6" "WALKING" "tBodyAccMag.std.." -0.266734167368421
"6" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.373611914166667
"6" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.0791508842176471
"7" "LAYING" "tBodyAccMag.std.." -0.907039513153846
"7" "SITTING" "tBodyAccMag.std.." -0.881957619770833
"7" "STANDING" "tBodyAccMag.std.." -0.933590156792453
"7" "WALKING" "tBodyAccMag.std.." -0.198554708385965
"7" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.214544028088723
"7" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.33474460745098
"8" "LAYING" "tBodyAccMag.std.." -0.91325033
"8" "SITTING" "tBodyAccMag.std.." -0.929943615630435
"8" "STANDING" "tBodyAccMag.std.." -0.937187185222222
"8" "WALKING" "tBodyAccMag.std.." -0.1804072826
"8" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.131337867236842
"8" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.227200254219512
"9" "LAYING" "tBodyAccMag.std.." -0.91512680016
"9" "SITTING" "tBodyAccMag.std.." -0.8637564342
"9" "STANDING" "tBodyAccMag.std.." -0.936105010444444
"9" "WALKING" "tBodyAccMag.std.." -0.37942877
"9" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.265120131365238
"9" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.400222037142857
"10" "LAYING" "tBodyAccMag.std.." -0.940301654482759
"10" "SITTING" "tBodyAccMag.std.." -0.939669591481481
"10" "STANDING" "tBodyAccMag.std.." -0.937264537954545
"10" "WALKING" "tBodyAccMag.std.." -0.185602396067925
"10" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.156998205421053
"10" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.211537480214383
"11" "LAYING" "tBodyAccMag.std.." -0.972891829473684
"11" "SITTING" "tBodyAccMag.std.." -0.944581826415094
"11" "STANDING" "tBodyAccMag.std.." -0.98030536893617
"11" "WALKING" "tBodyAccMag.std.." -0.487735915084746
"11" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.0507743652521739
"11" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.289592148148148
"12" "LAYING" "tBodyAccMag.std.." -0.936542686833333
"12" "SITTING" "tBodyAccMag.std.." -0.947517100196078
"12" "STANDING" "tBodyAccMag.std.." -0.935232945245902
"12" "WALKING" "tBodyAccMag.std.." -0.23697286882
"12" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.0972608274652174
"12" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.285844036153846
"13" "LAYING" "tBodyAccMag.std.." -0.947944746612903
"13" "SITTING" "tBodyAccMag.std.." -0.937935738571429
"13" "STANDING" "tBodyAccMag.std.." -0.968519673859649
"13" "WALKING" "tBodyAccMag.std.." -0.292546377017544
"13" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." -0.0156098198829787
"13" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.326339622181818
"14" "LAYING" "tBodyAccMag.std.." -0.856593119215686
"14" "SITTING" "tBodyAccMag.std.." -0.92549582962963
"14" "STANDING" "tBodyAccMag.std.." -0.936735577166667
"14" "WALKING" "tBodyAccMag.std.." -0.36380562779661
"14" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.428405922622222
"14" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.0197686685018519
"15" "LAYING" "tBodyAccMag.std.." -0.943314107916667
"15" "SITTING" "tBodyAccMag.std.." -0.93797790559322
"15" "STANDING" "tBodyAccMag.std.." -0.948600432641509
"15" "WALKING" "tBodyAccMag.std.." -0.323878324074074
"15" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.353204008095238
"15" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.136552217494583
"16" "LAYING" "tBodyAccMag.std.." -0.957895927714286
"16" "SITTING" "tBodyAccMag.std.." -0.941051236086957
"16" "STANDING" "tBodyAccMag.std.." -0.95729449448718
"16" "WALKING" "tBodyAccMag.std.." -0.47180926745098
"16" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.119183740638298
"16" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.334795080196078
"17" "LAYING" "tBodyAccMag.std.." -0.948257993521127
"17" "SITTING" "tBodyAccMag.std.." -0.96506519109375
"17" "STANDING" "tBodyAccMag.std.." -0.975377309871795
"17" "WALKING" "tBodyAccMag.std.." -0.461837866885246
"17" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.0914076757326087
"17" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.1028777303875
"18" "LAYING" "tBodyAccMag.std.." -0.986464542615385
"18" "SITTING" "tBodyAccMag.std.." -0.981595285964912
"18" "STANDING" "tBodyAccMag.std.." -0.972285545479452
"18" "WALKING" "tBodyAccMag.std.." -0.460346465357143
"18" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." -0.229934247036364
"18" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.37184157
"19" "LAYING" "tBodyAccMag.std.." -0.963193489036145
"19" "SITTING" "tBodyAccMag.std.." -0.951755657260274
"19" "STANDING" "tBodyAccMag.std.." -0.962549342465753
"19" "WALKING" "tBodyAccMag.std.." -0.0993927171359615
"19" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.413472376589744
"19" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.177666828025
"20" "LAYING" "tBodyAccMag.std.." -0.939489444558824
"20" "SITTING" "tBodyAccMag.std.." -0.937764028181818
"20" "STANDING" "tBodyAccMag.std.." -0.910672094794521
"20" "WALKING" "tBodyAccMag.std.." -0.156930391921569
"20" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.172636361444444
"20" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.198269718823529
"21" "LAYING" "tBodyAccMag.std.." -0.942186431444444
"21" "SITTING" "tBodyAccMag.std.." -0.971994251294118
"21" "STANDING" "tBodyAccMag.std.." -0.956919898202247
"21" "WALKING" "tBodyAccMag.std.." -0.299709752173077
"21" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.264341903711111
"21" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.278474283829787
"22" "LAYING" "tBodyAccMag.std.." -0.909407761152778
"22" "SITTING" "tBodyAccMag.std.." -0.924336184035484
"22" "STANDING" "tBodyAccMag.std.." -0.939866315079365
"22" "WALKING" "tBodyAccMag.std.." -0.161591787478261
"22" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.133267478527222
"22" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.158757474833333
"23" "LAYING" "tBodyAccMag.std.." -0.957871990555555
"23" "SITTING" "tBodyAccMag.std.." -0.924963263235294
"23" "STANDING" "tBodyAccMag.std.." -0.9516698575
"23" "WALKING" "tBodyAccMag.std.." -0.209989354570847
"23" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.230363964351852
"23" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.271893714117647
"24" "LAYING" "tBodyAccMag.std.." -0.969354834166667
"24" "SITTING" "tBodyAccMag.std.." -0.963779683235294
"24" "STANDING" "tBodyAccMag.std.." -0.94790101173913
"24" "WALKING" "tBodyAccMag.std.." -0.48106401862069
"24" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." -0.0224839122854545
"24" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.30685447
"25" "LAYING" "tBodyAccMag.std.." -0.649254767945205
"25" "SITTING" "tBodyAccMag.std.." -0.960003414461538
"25" "STANDING" "tBodyAccMag.std.." -0.968075629324324
"25" "WALKING" "tBodyAccMag.std.." -0.565601466081081
"25" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." -0.259465249913793
"25" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.480006649846154
"26" "LAYING" "tBodyAccMag.std.." -0.964355190394737
"26" "SITTING" "tBodyAccMag.std.." -0.933602783410256
"26" "STANDING" "tBodyAccMag.std.." -0.962697299189189
"26" "WALKING" "tBodyAccMag.std.." -0.421848313898305
"26" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.14700167906
"26" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.1507071068
"27" "LAYING" "tBodyAccMag.std.." -0.978920176216216
"27" "SITTING" "tBodyAccMag.std.." -0.969526674714286
"27" "STANDING" "tBodyAccMag.std.." -0.9663601145
"27" "WALKING" "tBodyAccMag.std.." -0.407355787017544
"27" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.121176277863636
"27" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.37994878627451
"28" "LAYING" "tBodyAccMag.std.." -0.9545740295
"28" "SITTING" "tBodyAccMag.std.." -0.947782703333333
"28" "STANDING" "tBodyAccMag.std.." -0.917658334177215
"28" "WALKING" "tBodyAccMag.std.." -0.39269402
"28" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.135465563932609
"28" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.211928666470588
"29" "LAYING" "tBodyAccMag.std.." -0.981572147681159
"29" "SITTING" "tBodyAccMag.std.." -0.9692903165
"29" "STANDING" "tBodyAccMag.std.." -0.981745712923077
"29" "WALKING" "tBodyAccMag.std.." -0.262695063584906
"29" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." 0.1344811501875
"29" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.0414696051693878
"30" "LAYING" "tBodyAccMag.std.." -0.960167907285714
"30" "SITTING" "tBodyAccMag.std.." -0.942901466612903
"30" "STANDING" "tBodyAccMag.std.." -0.916570441355932
"30" "WALKING" "tBodyAccMag.std.." -0.359873411538462
"30" "WALKING_DOWNSTAIRS" "tBodyAccMag.std.." -0.0135771208822581
"30" "WALKING_UPSTAIRS" "tBodyAccMag.std.." -0.327410815861538
"1" "LAYING" "tGravityAccMag.mean.." -0.8419291525
"1" "SITTING" "tGravityAccMag.mean.." -0.948536786170213
"1" "STANDING" "tGravityAccMag.mean.." -0.984278207358491
"1" "WALKING" "tGravityAccMag.mean.." -0.136971176556842
"1" "WALKING_DOWNSTAIRS" "tGravityAccMag.mean.." 0.0271882914106122
"1" "WALKING_UPSTAIRS" "tGravityAccMag.mean.." -0.129927630735849
"2" "LAYING" "tGravityAccMag.mean.." -0.977435485208333
"2" "SITTING" "tGravityAccMag.mean.." -0.967893623913043
"2" "STANDING" "tGravityAccMag.mean.." -0.965875181296296
"2" "WALKING" "tGravityAccMag.mean.." -0.290407593728814
"2" "WALKING_DOWNSTAIRS" "tGravityAccMag.mean.." 0.0899511204978723
"2" "WALKING_UPSTAIRS" "tGravityAccMag.mean.." -0.107322679520833
"3" "LAYING" "tGravityAccMag.mean.." -0.972791346129032
"3" "SITTING" "tGravityAccMag.mean.." -0.895383350192308
"3" "STANDING" "tGravityAccMag.mean.." -0.925430819016393
"3" "WALKING" "tGravityAccMag.mean.." -0.254690333275862
"3" "WALKING_DOWNSTAIRS" "tGravityAccMag.mean.." -0.0628126118283674
"3" "WALKING_UPSTAIRS" "tGravityAccMag.mean.." -0.184014895
"4" "LAYING" "tGravityAccMag.mean.." -0.954557603148148
"4" "SITTING" "tGravityAccMag.mean.." -0.93569482
"4" "STANDING" "tGravityAccMag.mean.." -0.906478051785714
"4" "WALKING" "tGravityAccMag.mean.." -0.312050574166667
"4" "WALKING_DOWNSTAIRS" "tGravityAccMag.mean.." -0.0491616726733333
"4" "WALKING_UPSTAIRS" "tGravityAccMag.mean.." -0.153703935357692
"5" "LAYING" "tGravityAccMag.mean.." -0.966777882884615
"5" "SITTING" "tGravityAccMag.mean.." -0.9379783225
"5" "STANDING" "tGravityAccMag.mean.." -0.906104701071429
"5" "WALKING" "tGravityAccMag.mean.." -0.158338674394643
"5" "WALKING_DOWNSTAIRS" "tGravityAccMag.mean.." 0.211138853638298
"5" "WALKING_UPSTAIRS" "tGravityAccMag.mean.." 0.0435562021989362
"6" "LAYING" "tGravityAccMag.mean.." -0.918878850824561
"6" "SITTING" "tGravityAccMag.mean.." -0.949543531272727
"6" "STANDING" "tGravityAccMag.mean.." -0.945022876491228
"6" "WALKING" "tGravityAccMag.mean.." -0.166840713631579
"6" "WALKING_DOWNSTAIRS" "tGravityAccMag.mean.." 0.333754731458333
"6" "WALKING_UPSTAIRS" "tGravityAccMag.mean.." 0.0177790974433333
"7" "LAYING" "tGravityAccMag.mean.." -0.936392023846154
"7" "SITTING" "tGravityAccMag.mean.." -0.918432107083333
"7" "STANDING" "tGravityAccMag.mean.." -0.942724659245283
"7" "WALKING" "tGravityAccMag.mean.." -0.0978090439438596
